name,symbol,atomicNumber,atomicWeight,classification_id,meltingPoint,boilingPoint,electronegativity,about,imgurl
Hydrogen,H,1,1.00794,Alkali Metals,14.01,20.28,2.2,Hydrogen is the lightest element in the periodic table and it constitutes roughly 75% of all baryonic mass in the observable universe making it the most abundant substance that we know of. It is what non-remnant stars use as fuel to keep the fusion reactions within their cores going for billions of years.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Hydrogen_discharge_tube.jpg/1920px-Hydrogen_discharge_tube.jpg
Helium,He,2,4.002602,Noble Gases,,4.22,,"Helium is a colorless, odorless, tasteless, non-toxic, inert and monatomic gas, the first in the group of noble gases. It is the second lightest of all elements and has the lowest boiling point. It is the second most abundant element in the observable universe making its mass more than 12 times the mass of all the heavier elements combined.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Helium_discharge_tube.jpg/1920px-Helium_discharge_tube.jpg
Lithium,Li,3,6.941,Alkali Metals,453.69,1560,0.98,"Lithium is a silvery-white alkali metal, and under standard conditions, it is the lightest metal and the lights amongst the solid elements. Like all Alkali Metals, it is highly reactive and flammable and it must be stored in mineral oil.",https://www.worldatlas.com/r/w728-h425-c728x425/upload/29/a9/cd/limetal.jpg
Beryllium,Be,4,9.012182,Alkaline Earth Metals,1560,2742,1.57,"Beryllium is a relatively rare element in the universe, usually occurring as a product of the spallation of larger atomic nuclei that have collided with cosmic rays. It is a divalent element which only occurs naturally in combination with other elements in minerals.",https://www.uewhealth.com/wp-content/uploads/2017/05/beryllium.jpg
Boron,B,5,10.8111,Metalloids,2349,4200,2.04,"Produced entirely by Cosmic day spallation and supernovae and not by stellar nucleosynthesis, it is a low abundance elements in the solar system and within Earth's crust.",https://upload.wikimedia.org/wikipedia/commons/1/19/Boron_R105.jpg
Carbon,C,6,12.0107,Other Non-Metals,3800,4300,2.55,"Carbon is the 15th most abundant element in Earth's crust and the 4th most abundant in the observable universe by mass after hydrogen, helium and oxygen. Bring the second most abundant element in the human body by mass, it is arguably one of the most important elements, its abundance, its rich spectrum of organic compounds and its peculiar ability to form polymers at Earthly temperatures enables this element to serve as a common element amongst all known life.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Glassy_carbon_and_a_1cm3_graphite_cube_HP68-79.jpg/1280px-Glassy_carbon_and_a_1cm3_graphite_cube_HP68-79.jpg
Nitrogen,N,7,14.00672,Other Non-Metals,63.15,77.36,3.04,"Nitrogen is a fairly common element in the observable universe. At standard temperature and pressure, two atom of Nitrogen bind to form dinitrogen, a colorless and orderless diatomic gas which forms about 78% of Earth's atmosphere. Nitrogen also occurs in all life as we know it, primarily in amino acids, in the nucleic acids and in adenosine triphosphate (ATP) molecules making it the fourth most abundant element in the human body by mass.",https://www.thoughtco.com/thmb/SgyVceyt9XKMWAxNBSBlzovZbO8=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/close-up-of-liquid-nitrogen-being-poured-in-container-667755357-57f502f23df78c690fc10040.jpg
Oxygen,O,8,15.9994,Other Non-Metals,54.36,90.2,3.44,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Liquid_oxygen_in_a_beaker_4.jpg/800px-Liquid_oxygen_in_a_beaker_4.jpg
Fluorine,F,9,18.9984032,Halogens,53.53,85.03,3.98,,https://cdn.thinglink.me/api/image/517901279251398657/1240/10/scaletowidth
Neon,Ne,10,20.1797,Noble Gases,24.56,27.07,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Neon_discharge_tube.jpg/1920px-Neon_discharge_tube.jpg
Sodium,Na,11,22.98977,Alkali Metals,370.87,1156,0.93,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Na_%28Sodium%29.jpg/1280px-Na_%28Sodium%29.jpg
Magnesium,Mg,12,24.305,Alkaline Earth Metals,923,1363,1.31,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/CSIRO_ScienceImage_2893_Crystalised_magnesium.jpg/1280px-CSIRO_ScienceImage_2893_Crystalised_magnesium.jpg
Aluminum,Al,13,26.981,Post-Transition Metals,933.47,2792,1.61,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Aluminium-4.jpg
Silicon,Si,14,28.0855,Metalloids,1687,3538,1.9,,https://upload.wikimedia.org/wikipedia/commons/e/e9/SiliconCroda.jpg
Phosphorus,P,15,30.973762,Other Non-Metals,317.3,550,2.19,,https://assets.2ser.com/wp-content/aws/uploads/2017/10/23203321/3EThHMgPNfTivnpqknP82Kq8-660x368.jpeg
Sulfur,S,16,32.066,Other Non-Metals,388.36,717.87,2.58,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Sulfur-sample.jpg/1280px-Sulfur-sample.jpg
Chlorine,Cl,17,35.453,Halogens,171.6,239.11,3.16,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Chlorine_liquid_in_an_ampoule.jpg/1024px-Chlorine_liquid_in_an_ampoule.jpg
Argon,Ar,18,39.948,Noble Gases,83.8,87.3,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Argon_discharge_tube.jpg/1920px-Argon_discharge_tube.jpg
Potassium,K,19,39.0983,Alkali Metals,336.53,1032,0.82,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Potassium-2.jpg
Calcium,Ca,20,40.078,Alkaline Earth Metals,1115,1757,1,,https://upload.wikimedia.org/wikipedia/commons/9/96/Calcium_unter_Argon_Schutzgasatmosph%C3%A4re.jpg
Scandium,Sc,21,44.955912,Transition Metals,1814,3109,1.36,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Scandium_sublimed_dendritic_and_1cm3_cube.jpg/1920px-Scandium_sublimed_dendritic_and_1cm3_cube.jpg
Titanium,Ti,22,47.867,Transition Metals,1941,3560,1.54,,https://upload.wikimedia.org/wikipedia/commons/d/db/Titan-crystal_bar.JPG
Vanadium,V,23,50.9415,Transition Metals,2183,3680,1.63,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Vanadium_etched.jpg/1024px-Vanadium_etched.jpg
Chromium,Cr,24,51.9961,Transition Metals,2180,2944,1.66,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Chromium_crystals_and_1cm3_cube.jpg/1920px-Chromium_crystals_and_1cm3_cube.jpg
Manganese,Mn,25,54.938049,Transition Metals,1519,2334,1.55,,https://www.worldatlas.com/r/w728-h425-c728x425/upload/7a/52/e3/shutterstock-1017654601.jpg
Iron,Fe,26,55.845,Transition Metals,1811,3134,1.83,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Iron_electrolytic_and_1cm3_cube.jpg/1920px-Iron_electrolytic_and_1cm3_cube.jpg
Cobalt,Co,27,58.9332,Transition Metals,1768,3200,1.88,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kobalt_electrolytic_and_1cm3_cube.jpg/1920px-Kobalt_electrolytic_and_1cm3_cube.jpg
Nickel,Ni,28,58.6934,Transition Metals,1728,3186,1.91,,https://upload.wikimedia.org/wikipedia/commons/5/57/Nickel_chunk.jpg
Copper,Cu,29,63.546,Transition Metals,1357.77,2835,1.9,,https://upload.wikimedia.org/wikipedia/commons/f/f0/NatCopper.jpg
Zinc,Zn,30,65.409,Transition Metals,692.88,1180,1.65,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Zinc_fragment_sublimed_and_1cm3_cube.jpg
Gallium,Ga,31,69.723,Post-Transition Metals,302.9146,2673,1.81,,https://upload.wikimedia.org/wikipedia/commons/9/92/Gallium_crystals.jpg
Germanium,Ge,32,72.631,Metalloids,1211.4,3106,2.01,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Polycrystalline-germanium.jpg/1024px-Polycrystalline-germanium.jpg
Arsenic,As,33,74.9216,Metalloids,1090,887,2.18,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Native_arsenic.jpg
Selenium,Se,34,78.96,Other Non-Metals,453,958,2.55,,https://upload.wikimedia.org/wikipedia/commons/4/47/SeBlackRed.jpg
Bromine,Br,35,79.904,Halogens,265.8,332,2.96,,https://miro.medium.com/max/648/1*Vr8K3gUIHstHdChB2eWFtQ.jpeg
Krypton,Kr,36,83.798,Noble Gases,115.79,119.93,3,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Krypton_discharge_tube.jpg/1920px-Krypton_discharge_tube.jpg
Rubidium,Rb,37,85.4678,Alkali Metals,312.46,961,0.82,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Rb5.JPG/1280px-Rb5.JPG
Strontium,Sr,38,87.62,Alkaline Earth Metals,1050,1655,0.95,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Strontium_destilled_crystals.jpg/1920px-Strontium_destilled_crystals.jpg
